name;description;exc;trade;;;;
CC410-2;HIK IP Cam 2MP Bullet;;3784.00;4351.60;;DS-2CD2626G2-IZS(2.8-12mm);
CC410-2B;HIK IP Cam 2MP Bullet IR 50M MVF 2.8-12m;;3555.00;4088.25;;;DS-2CD2625FWD-IZS(Black) (2.8-12mm)
CC410-AS;2MP AcuSense Bullet Camera - MVF 2.8-12m;;3596.00;4135.40;;;DS-2CD2626G2-IZSU/SL (2.8-12mm)
CC410-4;HIK IP Cam 4MP Bullet IR 50m MVF 2.8-12m;;11890.00;13673.50;On Request;DS-2CD5A46G0-IZ/UH;
CC406;HIK IP Cam 4MP Darkfighter Bullet IR30m;;2377.00;2733.55;;DS-2CD2046G2-IU/SL(2.8mm);
CC406-1;HIK IP Cam 4MP AcuSense Bullet IR60m;;2448.00;2815.20;;DS-2CD2T46G2-2I 6mm;
CC406-2;HIK IP Cam 4MP AcuSense Bullet IR80m;;2543.00;2924.45;;DS-2CD2T46G2-4I(6mm);
CC406-3;HIK IP Cam 4MP Darkfighter Bullet IR50m;;4895.00;5629.25;;;DS-2CD2646G2-IZSU/SL 2.8-12mm
CC406-10;8MP Bullet Camera - IR 30m - 4mm Fixed L;;2768.00;3183.20;;DS-2CD2085G1-I(4mm);
CC406-11;8MP Bullet Camera - IR 50m - MVF 2.8-12m;;5803.00;6673.45;;;DS-2CD2686G2-IZS(2.8mm-12mm)
CC406-12;8MP EXIR Bullet Camera - IR 80m - 6mm Fi;;3504.00;4029.60;;DS-2CD2T86G2-4I(6mm);
CC406-B;4MP AcuSense Bullet Cam - IR 40m - 2.8mm;;2216.00;2548.40;;;DS-2CD2046G2-IU (2.8mm) (Black)
CC409-W;2MP AcuSense Bullet - IR 30m - 2.8mm;;2074.00;2385.10;;DS-2CV2026G0-IDW(2.8mm);
CC513;HIK 7L IP Cam 2MP Bullet DL ANPR MVF;;7608.00;8749.20;;;iDS-2CD7A26G0/P-IZHS(2.8-12mm)
CC513-2;HIK 7L IP Cam 2MP Bullet DL ANPR 8-32mm;;9060.00;10419.00;;iDS-2CD7A26G0/P-IZHS(8-32mm);
CC513-6;2MP ANPR Bullet Cam - IR 50m - MVF;;9011.00;10362.65;On Request;;iDS-2CD7A26G0/P-IZHSY(2.8-12mm)
CC515;HIK 4MP Smart Bullet Cam IR 200m - MVF;;10737.00;12347.55;On Request;iDS-2CD7A45G0-IZS(4.7-118mm);
;;;;;;;
CC400-1;HIK 2MP Dome Cam 2.8mm Lens EasyIP 1.0;;1429.00;1643.35;EasyIP 1.0+;DS-2CD2121G0-I(2.8mm);
CC400-3;HIK 4MP Mini Dome Cam IR30m EasyIP 1.0;;1485.00;1707.75;EasyIP 1.0+;;-
CC401-1;HIK 2MP Dome Cam IR40m 2.8-12mm EasyIP;;2766.00;3180.90;EasyIP 1.0+;DS-2CD2721G0-IZS(2.8-12mm);
CC407-2;HIK IP Cam 2MP Mini Dome IR 10M 2.8mm;;2488.00;2861.20;;DS-2CD2526G2-IS 2.8mm;
CC407-5;4MP Darkfighter Mini Dome Camera - IR 10;;2770.00;3185.50;;DS-2CD2546G2-IS(2.8mm);
CC408-AS;2MP AcuSense Dome Cam - 4mm Fixed Lens;;2049.00;2356.35;;DS-2CD2126G2-ISU(4mm);
CC408-6;HIK IP Cam 2MP Dome IR 30M - 4mm - IP67;;2170.00;2495.50;;DS-2CD2126G2-ISU(4mm);
CC408-9;HIK IP Cam 2MP Dome IR 30m MVF 2.8-12mm;;4211.00;4842.65;;DS-2CD2726G2-IZS(2.8-12mm);
CC408-11;HIK IP Cam 2MP Dome IR 30M - 2.8mm IP67;;2166.00;2490.90;;DS-2CD2126G2-ISU(2.8mm);
CC408-14;4MP AcuSense Dome Cam IR 30m 2.8mm Lens;;2344.00;2695.60;;DS-2CD2146G2-ISU(2.8mm);
CC408-14B;4MP AcuSense Dome Cam - IR 30m - 2.8mm;;2102.00;2417.30;;;DS-2CD2146G2-ISU (2.8mm) (Black)
CC408-15;4MP AcuSense Dome Cam IR 30m MVF 2.8-12m;;4423.00;5086.45;;DS-2CD2746G2-IZS(2.8-12mm);
CC408-16;4MP AcuSense Dome Camera - IR 30m - 4mm;;1998.00;2297.70;;DS-2CD2146G2-ISU(4mm);
CC408-20;8MP Dome Camera - IR 30m - 2.8mm Fixed L;;2998.00;3447.70;On Request;DS-2CD2186G2-I(2.8mm);
CC408-21;8MP Dome Camera  - IR 30m - MVF 2.8-12mm;;5383.00;6190.45;On Request;DS-2CD2786G2-IZS(2.8-12mm);
CC408-23;Hik 2MP ColorVu Dome Cam 2.8mm IP67 IK10;;2452.00;2819.80;On Request;DS-2CD2127G2-SU (2.8mm;
CC435-4;2MP AcuSense Turret Cam - IR 30m- 2.8mm;;1776.00;2042.40;;;DS-2CD2326G2-I(2.8mm)(D)(O-STD)
;;;;;;;
CC599;Wi-Fi Bullet Camera C3TN 3MP 2.8mm Lens;;955.00;1098.25;;CS-C3TN-A0-1H3WKFL;
CC599-1;Wi-Fi PT Camera C6N 2MP 4mm Lens;;659.00;757.85;;CS-C6N-R101-1G2WF;
CC599-2;Wi-Fi Flood Light Camera LC1C 2MP;;2482.00;2854.30;;CS-LC1C-A0-1F2WPFRL;
CC599-3;Wi-Fi Bullet Camera C3W 4MP 2.8mm Lens;;1529.00;1758.35;;CS-C3W-A0-1F4WFL;
CC599-4;Wi-Fi Battery Powered Camera BC1C 2MP;;2071.73;2382.49;;CS-BC1C-A0-2C2WPBDL;
CC599-5;Wi-Fi PT Camera Outdoor C8C 2MP 4mm Lens;;1349.76;1552.22;;CS-C8C-A0-1F2WFL1;
CC599-6;Wi-Fi Door Light Camera LC3 4MP;;1799.00;2205.70;;CS-LC3-A0-8B4WDL;
CC599-7;Solar Panel;;556.00;639.40;New;CS-CMT-SOLAR PANEL-C;
CC599-8;Wi-Fi PT Camera C8PF Dual-Lens 2MP;;1911.35;2198.05;New;CS-C8PF-A0-6E22WFR(2.8mm);
CC599-9;Wi-Fi Battery Powered Video Doorbell DB2;;2068.53;2378.81;New;CS-DB2-A0-2C5WPB;
CC599-10;Wi-Fi Battery Powered Camera CB3 2MP;;1611.73;1853.49;New;CS-CB3-R100-2D2WFL;
CC599-11;Wi-Fi PT Battery Powered Camera HB8;;2609.55;3000.98;New;CS-HB8-R100-2C4WDL;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
CC444;HIK Dual Lens People Counting Cam 2.0mm;13949.00;16041.35;On Request;DS-2CD6825G0/C-IVS(2.0mm);;
CC500;Hikvision 2MP Facial Capture Dome Cam;8318.00;9565.70;;iDS-2CD7126G0-IZS(2.8-12mm);;
CC500-1;Hikvision 2MP Facial Capture Dome Cam;8656.00;9954.40;;iDS-2CD7126G0-IZS(8-32mm);;
CC501;Hikvision 2MP Facial Capture Bullet Cam;9015.00;10367.25;;iDS-2CD7A26G0-IZS(2.8-12mm);;
;;;;;;;
CC501-1;Hikvision 2MP Facial Capture Bullet Cam;11154.00;12827.10;;iDS-2CD7A26G0-IZS(8-32mm);;
CC504;4MP Facial Recognition Camera IR30m;8145.00;9366.75;;iDS-2CD7146G0-IZS 2.8-12mm;;
CC504-1;HIK 4MP Facial Recognition Dome IR50m;9017.00;10369.55;;iDS-2CD7146G0-IZS(8-32mm);;
;IP CAMERAS - HIKVISION Other;;;;;;
CC428-1;"HIK Cam IP 1/3"" 6MP CMOS WDR Fisheye";11881.00;13663.15;DS-2CD6365G0-IVS(1.27mm);;;
CC428-2;HIK IP Cam 5MP Fisheye IR 8m - 1.05mm;3081.00;3543.15;;DS-2CD2955FWD-IS(1.05mm);;
CC428-4;"HIK IP Cam 1/3""CMOS 2mm 12MP WDR Fisheye";12992.00;14940.80;DS-2CD63C5G0-IS;;;
CC439-2;IP Camera LPinhole Covert 2 MP;4828.00;5552.20;DS-2CD6425G1-20 (3.7mm);;;
CC700;4MP Solar Power Bullet Camera - Incl 4G;5370.00;6175.50;New;DS-2XS2T41G0-ID/4G/C04S05(6mm);;
;;;;;;;
CC348;HIK Thermal Bullet 7mm 384 x 288 - IP67;39791.00;45759.65;DS-2TD2138-7/QY;;;
CC349;HIK Thermal Bullet 10mm 384 x 288 - IP67;36399.00;41858.85;DS-2TD2138-10/QY;;;
CC350;HIK Thermal Bullet Cam 384 x 288 15mm;37055.00;42613.25;DS-2TD2138-15/QY;;;
CC351;HIK Thermal Bullet Cam 384 x 288 25mm;41404.00;47614.60;DS-2TD2138-25/QY;;;
CC351-1;Thermal Bullet Cam 384 x 288 Res 35mm;45063.00;51822.45;DS-2TD2138-35/QY;;;
CC352;HIK Thermal Bullet Cam 640 x 512 15mm;71624.00;82367.60;DS-2TD2167-15/P;;;
CC353;HIK Thermal Bullet Cam 640 x 512 25mm;71624.00;82367.60;DS-2TD2167-25/P;;;
CC354;HIK Thermal Dual Lens Bullet Cam - 25mm;46865.00;53894.75;DS-2TD2637-25/P;;;
;;;;;;;
CC355;HIK Thermal Dual Lens Bullet CaM - 50mm;84309.00;96955.35;DS-2TD2637-50/P;;;
;;;;;;;
CC356;HIK Thermal Bullet Cam - 75mm Lens;90454.00;104022.10;DS-2TD2367-75/P;;;
CC358-1;HIK Thermal PT 25mm - IR 150M Dual Lens;82555.00;94938.25;DS-2TD4137-25/W;;;
